Marca temporal;Facha de Keanu;Copadez de Keanu;Facha de Russell;Copadez de Russell;Facha de Nico;Copadez de Nico;Facha de Roberto;Copadez de Roberto;Facha de Jeff;Copadez de Jeff;Facha de Brad;Copadez de Brad;Facha del Mono;Copadez del Mono;Facha de Sergio;Copadez de Sergio;Facha de Ricky;Copadez de Ricky;Facha de Ben;Copadez de Ben;Facha de Javier;Copadez de Javier;Poné lo que quieras... parecidos, chistes, comentarios, etc...
2021-06-23T12:37:28Z;10;10;7;10;1;1;1;1;5;5;10;10;10;10;10;10;10;10;8;8;7;7;Vale y Yesi ortivas! jaja
2021-06-23T12:39:12Z;4;10;5;9;1;1;1;1;4;10;4;7;9;8;10;10;10;4;7;6;7;7;te rompí los patrones a la merd
2021-06-23T12:42:21Z;8;9;8;9;5;4;3;5;8;9;10;8;4;10;7;9;5;8;8;4;6;9;NA
2021-06-23T12:43:24Z;10;10;1;1;1;1;1;1;1;10;10;10;10;10;10;10;1;10;10;10;10;1;NA
2021-06-23T12:45:03Z;10;8;4;9;6;9;1;6;4;8;10;10;1;8;7;10;3;8;8;8;5;7;NA
2021-06-23T12:45:12Z;5;9;1;8;10;8;1;1;6;8;1;8;1;1;8;10;1;1;7;9;1;1;jaja me rei mucho!
2021-06-23T12:46:29Z;7;10;10;10;5;5;1;1;5;10;10;7;1;10;10;10;5;10;10;8;10;10;NA
2021-06-23T12:47:33Z;10;10;5;5;1;1;1;1;6;5;10;10;10;10;10;10;5;5;10;7;6;5;NA
2021-06-23T12:48:16Z;7;9;5;8;8;8;5;5;6;8;9;7;3;3;6;9;4;7;8;5;6;7;NA
2021-06-23T12:49:02Z;7;7;6;5;4;4;3;2;5;5;10;6;4;9;6;10;4;4;8;5;7;5;NA
2021-06-23T12:51:02Z;9;10;8;7;3;3;2;1;7;10;10;10;3;10;6;10;4;7;10;9;8;8;NA
2021-06-23T12:52:50Z;2;5;1;1;8;6;5;3;1;2;2;6;3;2;10;10;6;5;4;6;7;5;NA
2021-06-23T12:53:07Z;5;7;5;3;5;4;2;1;3;2;9;7;4;7;9;9;7;10;7;4;6;4;Caruso a la Final!
2021-06-23T12:53:27Z;9;9;5;5;5;5;1;1;2;2;9;6;1;3;10;10;6;7;8;5;4;4;Johnny Depp, 8/8
2021-06-23T12:58:43Z;8;10;5;5;5;6;2;2;4;7;9;6;3;10;6;8;3;4;8;5;7;7;NA
2021-06-23T13:02:01Z;9;10;7;10;4;5;1;5;1;7;10;6;1;8;6;10;1;4;10;6;7;6;NA
2021-06-23T13:02:42Z;7;8;7;9;6;5;4;6;7;8;9;7;5;10;10;10;4;8;8;8;7;7;NA
2021-06-23T13:02:55Z;8;9;6;4;10;10;3;1;6;5;10;10;1;5;10;10;10;10;10;7;10;10;Hajajja
2021-06-23T13:18:19Z;9;9;6;6;4;4;1;1;4;8;8;8;8;10;6;10;2;6;9;6;8;9;NA
2021-06-23T13:18:25Z;7;10;5;8;5;5;3;3;5;5;9;7;10;8;8;10;4;7;9;7;6;6;NA
2021-06-23T13:31:15Z;7;10;7;6;4;1;1;1;6;7;10;9;3;10;7;10;5;8;9;7;7;8;De Brad Pitt te copiaste el peinado, no?
2021-06-23T13:31:48Z;8;6;5;6;2;4;3;4;3;4;9;7;3;4;8;10;6;4;8;5;9;9;¿es requisito tener pelo largo para parecer fachero?  mostrame indicadores
2021-06-23T13:31:58Z;7;7;7;7;4;4;3;2;6;7;10;8;3;3;5;9;4;7;9;7;6;5;Sergio vos no estas bien haciendo esto!!!  Jajaja
2021-06-23T13:33:31Z;10;10;5;5;1;1;1;1;6;5;10;10;10;10;10;10;5;5;10;7;6;5;NA
2021-06-23T13:45:39Z;7;10;6;5;7;6;2;1;6;8;9;7;2;5;4;9;4;5;8;6;6;5;Falta Denicolay
2021-06-23T13:49:50Z;6;10;4;7;5;5;3;5;7;10;10;5;1;8;10;10;5;8;10;7;10;8;NA
2021-06-23T13:57:31Z;9;8;9;7;8;7;6;7;8;6;9;8;5;10;7;10;5;9;9;6;8;6;NA
2021-06-23T14:02:17Z;8;7;7;8;3;2;4;4;4;5;9;6;2;2;8;10;8;6;8;4;7;6;Jajaj muy bueno
2021-06-23T14:04:22Z;10;10;5;6;5;4;2;4;3;4;10;6;1;2;8;10;3;5;10;6;5;6;NA
2021-06-23T14:06:30Z;8;10;6;8;7;2;4;4;7;7;10;9;3;6;6;8;5;9;9;7;6;8;"NA"
2021-06-23T14:07:51Z;10;10;6;8;4;4;1;10;4;4;10;10;1;5;10;10;1;9;10;6;10;10;Haces todo esto para levantarte minas Mora, lo sabemos!!!
2021-06-23T14:10:22Z;7;10;8;8;7;3;5;3;5;8;5;10;2;8;10;10;9;10;5;7;5;8;ME ENCANTÓ! curiosa, dinámica y original iniciativa como siempre!!
2021-06-23T14:10:34Z;8;9;9;8;3;3;3;3;3;4;9;9;3;3;8;10;3;4;9;7;9;9;NA
2021-06-23T14:11:03Z;8;8;5;5;2;1;1;1;3;4;9;10;1;1;4;10;4;4;6;6;6;5;NA
2021-06-23T14:12:18Z;8;10;4;7;9;9;1;3;7;7;10;9;1;6;9;10;7;10;9;9;6;6;NA
2021-06-23T14:16:51Z;8;6;5;4;6;6;1;1;7;7;10;6;1;8;6;9;4;7;8;8;6;9;Copado el test!!
2021-06-23T14:17:33Z;8;7;6;7;4;7;3;4;6;9;10;6;2;10;4;4;4;8;9;5;9;7;NA
2021-06-23T14:28:34Z;10;5;8;9;9;9;5;5;5;7;5;5;1;3;7;10;4;4;7;7;10;10;¿todos hombres?
2021-06-23T14:37:46Z;9;10;5;8;3;6;1;1;4;8;8;7;2;6;10;10;4;10;8;4;3;6;NA
2021-06-23T14:37:51Z;8;10;6;3;5;7;4;4;7;7;9;8;4;8;10;10;4;8;9;7;8;8;NA
2021-06-23T14:38:44Z;6;10;4;8;7;4;6;4;3;10;9;7;2;10;6;9;4;5;7;6;8;7;NA
2021-06-23T14:41:12Z;8;8;4;8;3;4;1;2;2;3;9;7;2;8;10;10;3;9;9;8;7;7;NA
2021-06-23T15:00:11Z;8;9;6;4;10;10;3;1;6;5;10;10;1;5;10;10;10;10;10;7;10;10;Hajajja
2021-06-23T15:28:24Z;8;10;8;10;6;5;5;5;7;5;9;6;5;5;7;10;5;3;7;3;7;5;NA
2021-06-23T15:29:56Z;8;9;4;5;3;5;2;3;3;8;8;6;3;8;5;8;4;7;8;7;5;5;NA
2021-06-23T15:33:34Z;6;7;3;5;4;6;1;1;7;7;10;9;2;6;10;10;2;2;6;4;7;4;NA
2021-06-23T15:34:18Z;5;10;4;6;5;5;3;7;5;6;8;6;2;6;6;9;3;5;8;6;5;5;WTH??
2021-06-23T15:37:23Z;9;6;6;8;6;5;4;4;9;8;9;7;6;9;10;10;7;7;7;8;9;6;Sos un capo!!! me divertí mucho!!!
2021-06-23T15:46:58Z;7;2;6;4;6;1;1;1;6;7;10;6;3;9;7;8;4;7;8;5;7;7;Falta el test de mujeres.....
2021-06-23T16:17:32Z;8;7;5;6;6;2;2;1;5;6;6;8;1;10;6;10;1;1;6;5;4;5;NA
2021-06-23T16:28:01Z;8;10;4;10;4;3;1;1;4;7;8;9;1;8;7;10;5;3;9;10;9;8;Bronn, de game of thrones.
2021-06-23T16:32:31Z;7;8;6;7;6;8;2;1;7;6;10;7;10;10;8;10;7;10;9;7;7;4;NA
2021-06-23T16:50:31Z;4;8;4;6;6;6;2;1;5;5;7;5;2;2;8;9;6;8;7;6;4;3;NA
2021-06-23T17:38:55Z;8;10;5;7;5;5;3;3;6;7;9;7;2;7;8;7;3;6;8;8;5;5;NA
2021-06-23T18:03:11Z;10;10;7;4;4;1;1;1;8;8;8;6;1;1;8;10;5;5;9;7;10;8;Muy buen ejercicio!  A algunos personajes el 1 le quedaba grande! habiliten el 0 jaja Éxitos!
2021-06-23T21:00:50Z;10;10;8;6;8;8;1;1;3;5;10;6;1;2;7;9;2;3;9;2;9;6;NA
2021-06-24T00:11:07Z;8;10;3;3;4;2;1;2;5;4;10;7;1;3;6;6;4;6;8;6;5;6;NA
2021-06-24T02:19:17Z;7;10;9;7;10;8;3;6;7;10;5;10;3;5;10;10;4;6;7;6;6;8;"Un genio Sergio 😂😂😂 Podría ser también a la versión adulta del niño del sexto sentido, el que dice""veo gente muerta"" ¿? 🤔"
2021-06-24T03:28:50Z;7;8;3;9;2;7;10;10;3;7;1;10;10;10;10;10;10;10;7;6;10;10;Puedo decir que la foto que te sacaste, es muy de MA de instagram
2021-06-25T08:48:04Z;9;10;6;7;4;7;3;6;7;7;10;9;2;4;8;9;6;8;9;7;9;7;NA
2021-06-25T15:43:32Z;4;8;4;8;2;4;1;1;2;4;10;10;1;1;4;9;3;4;10;10;2;3;NA
2021-06-25T15:48:03Z;9;9;6;8;3;3;1;1;5;5;7;4;5;8;4;8;6;6;9;5;6;4;NA
2021-06-25T20:57:03Z;10;10;5;5;6;6;5;5;5;5;7;7;4;3;10;10;5;5;8;8;8;8;NA
2021-06-25T21:06:06Z;9;10;6;6;8;6;4;5;7;7;10;8;2;3;7;10;5;5;9;6;7;8;Jaja me hiciste reír. Cómo no soy de Argentina tuve que googlear algunos, pero todo bien. Super entretenido
2021-06-27T21:35:39Z;10;10;7;8;2;6;1;1;8;9;10;7;1;1;5;8;3;5;8;9;8;9;NA
2021-06-28T19:24:28Z;5;6;4;6;2;2;3;3;2;3;2;3;2;2;2;7;3;4;4;4;4;6;NA
