Marca temporal;País;Provincia donde trabajas;Edad...4;Género...5;¿Estás haciendo home office?...6;¿En qué provincia trabajás?;Edad...8;Género...9;¿Estás haciendo home office?...10;Sentís que trabajando desde tu casa, tu productividad...;¿Tenés hijos?;¿Ya hacías home office antes de la pandemia?;Preferís...;La comunicación con tu equipo de trabajo;¿En qué tipo de empresa trabajás?;¿Querés contestar más preguntas?;¿Cuál es el rubro de la empresa?...18;Antes de la cuarentena ¿Qué porcentaje de la empresa estaba haciendo teletrabajo?;¿Qué herramientas de comunicación utilizas con tu equipo?;¿Hacés pausas para distenderte o trabajás de corrido?;Respecto a la vestimenta;¿Hacés el mismo horario que yendo a la oficina?;Respecto de la planificación;¿Preferís un ambiente tranquilo o con algo de ruido?;¿Usás auriculares para trabajar?;¿Te gustaría trabajar todos los días desde tu casa?;¿Creés que va a cambiar la forma de trabajar después de esta crisis?;Justifica la respuesta;¿Tu trabajo se puede hacer desde tu casa?;¿Hay sectores de la empresa que están haciendo teletrabajo?;¿La empresa brinda servicios considerados esenciales?;¿La empresa dio algún beneficio para que los empleados vayan a trabajar presencialmente?;En el caso que estés en cuarentena sin posibilidad de trabajar desde tu casa, ¿tu empleador te sigue pagando el sueldo?;Tipo de empresa;¿Cuál es el rubro de la empresa?...36;La empresa cumple con las pautas y condiciones de prevención;¿Querés recibir los resultados de esta encuesta por mail?;¿Querés recibir más información de los servicios y eventos de Data 4HR?
2020-03-20T11:51:24Z;Argentina;NA;NA;NA;NA;Corrientes;36;Hombre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí;No;No sé;Si, con reducción de salario;Emprendimiento propio;Capacitación / gastronomía;Si;No;Sí
2020-03-20T11:57:56Z;Argentina;NA;NA;NA;NA;Córdoba;37;Mujer;Sí;Empeoró;Sí;No;Trabajar con gente en la oficina;Es mucho peor;Nacional;Si;Contruccion;Menos del 10%;WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Voy viendo según el día;Pongo música/radio;Nunca;No;No;Hay que cumplir horario y presencia...;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T12:09:45Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;31;Hombre;Sí;Sigue igual;Sí;No;Trabajar en un cowork;Tuvimos que hacer ajustes pero va bien;Empresa Estatal;Si;Energía nuclear;Menos del 10%;Zoom, Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Planifico todas las tareas del día;Prefiero un ambiente en silencio;Nunca;Tal vez;Sí;Entiendo que muchas empresas que tenían dudas del home office, y han tenido buenos resultados, lo implementarán. Aquellas que tenian dudas y no les funcionó, deberán redefinir la estrategia o no darle lugar a esta metodología.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T12:12:46Z;Argentina;NA;NA;NA;NA;Buenos Aires;54;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar con gente en la oficina;Se mantiene igual de bien;Nacional;Si;metalmecanica;Entre un 10% y un 30%;Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te vestís como para ir a trabajar normalmente;Si;Voy viendo según el día;Pongo música/radio;Nunca;Tal vez;Sí;muchos aceptaran el homeofice o teletrabajo como alternativa de modalidad de trabajo;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T12:18:15Z;Argentina;NA;NA;NA;NA;Buenos Aires;31;Prefiero no decirlo;Sí;Mejoró;No;No;Trabajar desde tu casa;Se mantiene igual de bien;Empresa Estatal;Si;Recursos Humanos;Menos del 10%;Mail, WhatsApp, dropbox;Sí;Te ponés lo primero que encontrás;Si;Planifico todas las tareas del día;Pongo música/radio;Nunca;Tal vez;Sí;Estamos en un tiempo donde somos mas productivos a medida que menos desgastes tenemos a nivel físico y mental, por lo que conlleva tanto el malestar del pésimo traslado diario (ida y vuelta) al trabajo y las contingencias de las diversas realidades en la sociedad;NA;NA;NA;NA;NA;NA;NA;NA;No;No
2020-03-20T12:33:41Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;30;Hombre;Sí;Sigue igual;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;IT consulting services;Más del 80%;Zoom, Slack, Mail;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;Sí, todo el tiempo;Tal vez;Sí;La flexibilidad va a ser la prioridad número 1.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T12:36:36Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;27;Mujer;Sí;Mejoró;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Banco;Entre 31% y el 50%;Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Planifico todas las tareas del día;Pongo música/radio;A veces;Tal vez;Tal vez;Si la productividad aumentó creo o espero tengan en consideración el home off más amenudo;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T12:45:01Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;42;Mujer;Sí;Sigue igual;No;No;Trabajar con gente en la oficina;Es mucho peor;Empresa Estatal;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T12:47:17Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;38;Mujer;Sí;Sigue igual;Sí;No;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Ong;Menos del 10%;WhatsApp;Sólo para comer;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;A veces;Tal vez;Sí;Si la productividad y el alcance de objetivos mejora con esta modalidad, las empresas se replantearán las formas de trabajo.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T12:51:04Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;34;Mujer;Sí;Empeoró;No;No;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Laboratorios de medicina consumo humano;Menos del 10%;Mail, WhatsApp;Sí;Te vestís como para ir a trabajar normalmente;No, trabajo menos horas;Me pongo uno o dos objetivos nada más;Prefiero un ambiente en silencio;Nunca;No;Sí;Mi empresa se dió cuenta que no tenía un programa de respuesta ante este u otro tipo de contingencia, y también estaban muy negados a dar el teletrabajo, aunque sea por algunos días al mes. Estimo que con esta situación, van a reconsiderar todo;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
